,company_name,location,notice_date,layoff_date,employees_affected,Address,Closure,Layoff,Permanent Reduction
207,Bloomin' Brands (Outback Steakhouse),Tampa,04/27/2020,03/15/2020,455,*Due to COVID-19,No,Yes,No
208,Bloomin' Brands (Outback Steakhouse) ,Tampa,04/27/2020,03/15/2020,281,*Due to COVID-19,No,Yes,No
209,Bloomin' Brands (Outback Steakhouse),Tampa,04/27/2020,03/15/2020,177,*Due to COVID-19,No,Yes,No
210,Bloomin' Brands (Bonfish Grill) ,Tampa,04/27/2020,03/21/2020,201,*Due to COVID-19,No,Yes,No
211,Bloomin' Brands (Carrabba's Italian Grill) ,Tampa,04/27/2020,03/15/2020,59,*Due to COVID-19,No,Yes,No
212,Bloomin' Brands (Carrabba's Italian Grill) ,Tampa,04/27/2020,03/21/2020,319,*Due to COVID-19,No,Yes,No
213,Bloomin' Brands (Outback Steakhouse) ,Tampa,04/27/2020,03/21/2020,524,*Due to COVID-19,No,Yes,No
214,Bloomin' Brands (Bonefish Grill),Tampa ,04/27/2020,03/21/2020,44,*Due to COVID-19,No,Yes,No
215,Bloomin' Brands (Outback Steakhouse),Tampa ,04/27/2020,03/21/2020,384,*Due to COVID-19,No,Yes,No
216,Bloomin's Brands (Outback Steakhouse) ,Tampa,04/27/2020,03/21/2020,326,*Due to COVID-19,No,Yes,No
217,Bloomin' Brands (Bonefish Grill) ,Tampa,04/27/2020,03/21/2020,116,*Due to COVID-19,No,Yes,No
218,Bloomin' Brands (Fleming's) ,Tampa ,04/27/2020,03/21/2020,40,*Due to COVID-19,No,Yes,No
219,Bloomin' Brands (Carrabba's Italian Grill) ,Tampa,04/27/2020,03/21/2020,115,*Due to COVID-19,No,Yes,No
220,Hilton Richmond Downtown,"New Orleans,",04/24/2020,03/23/2020,109,*COVID-19,No,Yes,No
221,Enterprise Holdings,Williamsburg,04/24/2020,04/24/2020,84,323 Alexander Lee Parkway,No,Yes,No
222,Enterprise Holdings,Williamsburg,04/24/2020,04/24/2020,78,323 Alexander Lee Parkway,No,Yes,No
223,Hertz,Estero,04/24/2020,04/14/2020,50,8501 Williams Road,No,Yes,No
224,"Visionworks, Inc. ","San Antonio,",04/23/2020,03/21/2020,6,*Due to COVID-19,No,Yes,No
225,"Visionworks, Inc. ",San Antonio,04/23/2020,04/04/2020,19,*Due to COVID-19,No,Yes,No
226,"Visionworks, Inc. ",San Antonio,04/23/2020,04/04/2020,1,*Due to COVID-19,No,Yes,No
227,"Visionworks, Inc. ",San Antonio,04/23/2020,03/21/2020,99,*Due to COVID-19,No,Yes,No
228,"Visionworks, Inc. ",San Antonio,04/23/2020,03/21/2020,44,*Due to COVID-19,No,Yes,No
229,Eastern Specialty Finance Inc.,Cincinnati,04/21/2020,05/01/2020,5,*Due to COVID-19,No,Yes,No
230,"Eastern Specialty Finance, Inc. ",Cincinnati ,04/21/2020,05/01/2020,4,*Due to COVID-19,No,Yes,No
231,Enterprise Holdings ,Alexandria,04/20/2020,03/28/2020,77,*Due to COVID-19,No,Yes,No
