,company_name,location,notice_date
150,"Indian Point Energy Center (IPEC) subsidiary of Holtec International; Holtec Decommissioning International, LLC",Mid-Hudson,3/28/2023
151,NYC Health + Hospitals of BronxWorks (Resource Navigator Program),New York City,3/24/2023
152,Voyant Beauty LLC,Central,3/23/2023
153,Applegreen USA Travel Plazas Central Services LLC,Mid-Hudson / Capital / Finger Lakes / Western,3/21/2023
154,Upward Enterprises Inc. DBA Upward Farms,New York City,3/20/2023
155,IEH Auto Parts LLC d/b/a Auto Plus,Mid-Hudson,3/20/2023
156,Eastern Niagara Hospital,Western,3/16/2023
157,"Powerflow, Inc.",Western,3/14/2023
158,"Staffing Boutique, Inc. (MedRite Staffing Boutique)",New York City,3/10/2023
159,Creatively Designed Products LLC,Long Island,3/8/2023
160,RealEats America Inc.,Finger Lakes,3/7/2023
161,"Indian Point Energy Center (IPEC) subsidiary of Holtec International; Holtec Decommissioning International, LLC",Mid-Hudson,3/6/3023
162,Hilton JFK Hotel,New York City,3/2/2023
163,"Yellow Corporation, through its subsidiary New Penn Motor Express LLC and YRC Enterprise Services, Inc.",Western,2/28/2023
164,Akorn Operating Company LLC,Long Island,2/24/2023
165,"RUME Health, LLC / RUME Medical Group",New York City,2/22/2023
166,"Peer Street, Inc.",New York City / Long Island,2/21/2023
167,"Critical Ideas, Inc. d/b/a Chipper Cash",New York City,2/21/2023
168,"Goldman, Sachs & Co., LLC",New York City,2/17/2023
169,"Melvindale NY, LLC d/b/a Gjelina",New York City,2/15/2023
170,Cazenovia College,Mohawk Valley,2/14/2023
171,"Trio Community Meals, LLC",Western,2/10/2023
172,"Indian Point Energy Center (IPEC) subsidiary of Holtec International; Holtec Decommissioning International, LLC",Mid-Hudson,2/6/2023
173,"Bed, Bath & Beyond, Inc.",New York City,2/6/2023
174,"Bed, Bath & Beyond, Inc.",New York City,2/3/2023
175,"Pioneer Credit Recovery, Inc., Gila LLC, Navient B.P.O., LLC, Navient Solutions, LLC, or Asset Performance Group, LLC",Finger Lakes / Southern,2/2/2023
176,"Amneal Pharmaceuticals, LLC",Long Island,2/1/2023
177,"Bed, Bath & Beyond, Inc.",Mid-Hudson,1/31/2023
178,St. Mary's Community Care Professional Corp.,New York City,1/27/2023
179,"RCSH Operations, LLC.",New York City,1/25/2023
180,Google,New York City,1/25/2023
181,"Cloud Software Group, Inc.",New York City,1/24/2023
182,"Roses Confections, LP",Mohawk Valley,1/23/2023
183,Memorial Sloan Kettering Cancer Center,New York City,1/23/2023
184,Amazon,New York City,1/23/2023
